Content type,Object ID,User ID,First View,Last View,Views,Clicks,Liked,Completed,Times Completed,Last Completed,Max Duration,Total Duration,Max Duration Percent,Last Duration
Game,54,162355,2019-12-20 06:57:35.573671+00:00,2019-12-24 22:11:21.799774+00:00,17,17,,,,,265.9859998,436.7090001,,3.420000076
Video,9422,175859,2019-12-24 18:52:53.393151+00:00,2019-12-24 22:11:21.638929+00:00,8,0,,TRUE,8,20191224,280,2240,100,280
Game,5,172983,2019-12-24 22:11:00.184364+00:00,2019-12-24 22:11:04.562531+00:00,6,6,,,,,,,,
Video,13996,176030,2019-12-24 16:13:52.780654+00:00,2019-12-24 22:10:46.102927+00:00,1,10,,,,,367,367,46,367
Show,589,176030,2019-12-23 18:51:43.020242+00:00,2019-12-24 22:10:33.028516+00:00,4,1,,,,,,,,
Video,493,66132,2019-12-23 00:02:20.795536+00:00,2019-12-24 22:10:08.996830+00:00,4,0,,TRUE,2,20191224,111,222,100,111
Game,7,172983,2019-12-24 22:10:00.206031+00:00,2019-12-24 22:10:07.920029+00:00,9,9,,,,,,,,
Video,578,162355,2019-12-24 22:09:13.174398+00:00,2019-12-24 22:09:19.095017+00:00,1,1,,,,,90,360,15,90
Show,88,162355,2019-12-20 05:59:26.505087+00:00,2019-12-24 22:09:13.156994+00:00,2,0,,,,,,,,
Show,527,26501,2019-10-18 08:53:51.262385+00:00,2019-12-24 22:09:04.183077+00:00,5,1,,TRUE,1,20191018,,,,
Video,312,168192,2019-09-02 14:42:17.250858+00:00,2019-12-24 22:08:11.776048+00:00,3,0,,TRUE,1,20191224,359,877,100,307
Show,66,168192,2019-09-02 14:26:42.529916+00:00,2019-12-24 22:08:08.451235+00:00,4,0,,,,,,,,
Video,13991,66132,2019-12-22 23:59:43.172913+00:00,2019-12-24 22:07:30.179445+00:00,4,0,,TRUE,2,20191224,155,310,100,155
Video,9855,162355,2019-12-20 07:17:25.975578+00:00,2019-12-24 22:07:08.555114+00:00,4,2,,,,,110,155,58,110
Video,9423,175859,2019-12-24 18:48:20.932020+00:00,2019-12-24 22:06:49.243605+00:00,8,0,,TRUE,8,20191224,270,2160,100,270
